fecha,humedad_media_dia,humedad_min_dia,humedad_max_dia,temp_suelo_media_dia,temp_suelo_min_dia,temp_suelo_max_dia,bateria_media_dia_mv,panel_solar_media_dia_mv,variacion_humedad_dia,n_registros_dia
2024-01-01,31.47390625,31.45,31.527500000000003,8.956406249999999,7.83,12.68,6622.0,2498.125,0.07750000000000412,8
2024-01-02,31.420989583333334,31.33875,31.46,8.792760416666667,6.26,12.56,6630.375,4014.0,0.12124999999999986,24
2024-01-03,31.310052083333332,31.2675,31.3525,8.816927083333333,6.17,9.84,6618.166666666667,3848.875,0.08500000000000085,24
2024-01-04,31.34557291666667,31.27875,31.93625,9.365208333333333,8.66,10.55,6598.0,2776.8333333333335,0.6575000000000024,24
2024-01-05,32.91578125,32.8325,33.01875,9.763697916666667,8.42,11.38,6631.041666666667,4017.7916666666665,0.18624999999999403,24
2024-01-06,32.79265625,32.71,32.85125,9.353177083333334,5.82,10.79,6624.875,3912.4166666666665,0.14124999999999943,24
2024-01-07,32.65796875,32.55625,32.723749999999995,8.861822916666666,4.98,10.42,6622.458333333333,3980.7083333333335,0.16749999999999687,24
2024-01-08,32.53010416666667,32.5025,32.55375,8.295885416666666,4.17,10.29,6612.833333333333,3889.0,0.051250000000003126,24
2024-01-09,32.49520833333333,32.4775,32.52125,8.361302083333333,6.86,10.03,6616.5,3387.0416666666665,0.04375000000000284,24
2024-01-10,32.54119791666667,32.51625,32.56375,8.781302083333333,7.83,11.02,6631.291666666667,3629.9166666666665,0.04749999999999943,24
2024-01-11,32.48494791666666,32.41625,32.525,9.089895833333333,7.36,12.44,6625.458333333333,3756.6666666666665,0.10875000000000057,24
2024-01-12,32.368125,32.29375,32.425,9.033385416666667,5.94,11.5,6628.875,3932.375,0.13124999999999432,24
2024-01-13,32.265468750000004,32.22375,32.292500000000004,8.944531249999999,6.33,10.08,6633.5,4057.8333333333335,0.06875000000000142,24
2024-01-14,32.18625,32.11749999999999,32.22875,8.9996875,6.38,11.61,6635.583333333333,4120.375,0.1112500000000054,24
2024-01-15,32.13395833333333,32.114999999999995,32.155,9.300104166666667,8.3,10.2,6610.708333333333,3034.0,0.04000000000000625,24
2024-01-16,32.288281250000004,32.15375,32.89125,9.889843749999999,9.21,11.85,6612.916666666667,3295.0,0.7374999999999972,24
2024-01-17,34.008854166666666,32.910000000000004,35.095,10.539947916666668,9.79,13.47,6641.333333333333,3648.2916666666665,2.184999999999995,24
2024-01-18,35.92989583333333,34.235,38.53125,11.36046875,10.37,13.34,6633.916666666667,3416.8333333333335,4.296250000000001,24
2024-01-19,38.03458333333334,37.69375,38.64,11.767916666666666,11.01,12.68,6617.5,3222.2083333333335,0.9462499999999991,24
2024-01-20,38.27166666666667,38.1025,38.47875,11.533020833333333,9.49,12.35,6631.5,4020.0416666666665,0.37624999999999886,24
2024-01-21,38.03854166666667,37.9275,38.095,11.344375,9.14,13.72,6633.916666666667,4091.0,0.16749999999999687,24
2024-01-22,37.87494791666666,37.75,37.945,11.011979166666665,7.95,12.58,6627.833333333333,4085.25,0.19500000000000028,24
2024-01-23,37.701197916666665,37.57875,37.7625,10.864895833333334,8.3,13.39,6631.375,4017.375,0.1837500000000034,24
2024-01-24,37.52505208333333,37.39625,37.585,10.970416666666667,8.54,13.98,6634.166666666667,3993.6666666666665,0.18874999999999886,24
2024-01-25,37.33677083333333,37.22,37.4075,11.075000000000001,8.54,14.46,6637.791666666667,4072.125,0.1875,24
2024-01-26,37.14177083333333,37.010000000000005,37.20125,11.209322916666666,9.01,14.1,6641.333333333333,4108.166666666667,0.1912499999999966,24
2024-01-27,36.94109375,36.795,37.01375,11.304427083333332,9.12,14.57,6640.541666666667,4268.125,0.21875,24
2024-01-28,36.70932291666667,36.5875,36.7825,11.25984375,8.78,13.43,6642.875,4163.833333333333,0.19500000000000028,24
2024-01-29,36.54317708333333,36.46125,36.5975,11.195156250000002,9.01,13.57,6639.916666666667,4188.5,0.13624999999999687,24
2024-01-30,36.390625,36.26625,36.46625,11.0884375,8.38,13.51,6636.875,4223.791666666667,0.20000000000000284,24
2024-01-31,36.19473958333334,36.072500000000005,36.26,10.928541666666668,7.95,13.39,6637.125,4241.166666666667,0.1874999999999929,24
2024-02-01,35.994791666666664,35.8575,36.06875,10.736458333333333,7.48,13.04,6635.0,4311.125,0.21124999999999972,24
2024-02-02,35.79239583333334,35.65375,35.85625,10.600104166666666,7.31,13.37,6635.416666666667,4375.458333333333,0.20250000000000057,24
